receiverAddress,Username,Degen
0x20da700ea03e9fe8bf3409d6f66105184aefb2fc,jacque,3678.50
0xdf58c34414b0812b38c362e8423380a0f27eda8c,maryams.eth,92.13
0xa5d9bf36c5de27f11cadea7f20f3afd625c6ca18,aliced,556.35
0xdc783b3cb88fdb2b01c61997746b655d7b54003e,charoa,436.29
0xdb34d136ec9fe827aadbe33eea90162d8e9d4487,elfearsfoxsox,290.83
0xdca6f7cb3cf361c8df8fde119370f1b21b2fff63,abundance,1932.31
0xe588a2b38f24c72e30535885d645ceba44480d1b,aoifeodwyer,221.93
0x897fed9144674e36e49a73c5d4b714183ff5a70e,trillobyte,444.34
0x57343bd52129cb496c22ae05c443fa5343022b2a,hanisart,523.84
0xb31a8f6745b45d95c776fd734ef6d78bd852cfc4,squishna,2047.48
0x001c213fc52654c2a3dc3ad4f7ac5233f2a31df7,mehdi-benembarek,607.44
0x97d7213c0c131cc4f2d77a0acf8b56e37449493c,sheena,541.28
0x796af61116ab898b4f5c9f6fad15313f52977c2d,artstudio48,3834.50
0xb6f6ce090c741263158627578e6281d2b9060cbe,fdilekyurdakul,52.73
0x91cb1ff4322559a5c5c67dba075ab081c255ba1f,adacrow,49.18
0x2c236be4a7b9420156df76eee07cd1ad35850038,seeimagery,515.94
0xfdb9fd7194921c435e2999187a8627301c45da36,hankmoody,422.76
0x9ffaab6c24d4fb58d61b26b08c8795e9e323f28b,thedude,665.49
0xcb1739bf14555586d71b17bf97beaff11aac5d62,secretchun,136.99
0x2315c54b1d9d013ee791041025aa42a49abf853d,awedjob,688.60
0x26d46ffe6a687838edf80e693f651d85f61dda71,saraknaves,956.32
0xa7c3b6c27e782e18b01c1a1a577548add6d9bec9,narisofka,665.70
0x63e0e1312a693a3e113574060c424d1411ab4d55,speakingtomato,111.52
0x6506e31b88422251354d9deb63a904d90acd8996,listen2mm.eth,35.14
0x18c1e496215bc58b18f9b291803565471a8fc9bc,marziojaqi,5283.36
0xe06383ece7b8bbb6c3f65a95fc2b6450e9077a6c,reneecampbell,2070.36
0x590f4ca9b70860d1b89be8a7e69f22e59f6dcf6f,mikkolagerstedt,106.62
0x98bb6321aa10562ba458e9e449485a9d93520263,altagers.eth,588.79
0x241ee6d40b6642c630b4f1501bc24017d8080302,samareh,771.90
0xe19753f803790d5a524d1fd710d8a6d821a8bb55,jonathancolton,1692.91
0x22e06291f55fecd5d659d5256daf24eb5e97a3f4,shabnampo,5912.77
0xfaed18d6170eb58351e2268030c71de13d25b223,chronist,1421.44
0x24b2f268896ccb25303c88eaab7295937207cd73,srchappell,77.02
0xb07cf1b6d7661de58a59a30845b4a39b3906884a,jolenecasko,272.23
0xd733cee40fd59dcd0b141d021e3a1e7e9096cf2f,pichi,5207.23
0x5243c3faf2fc7909082c857634ad2e61143add49,angelikakollin,786.08
0xcf466edbe1ca3b3d09e949a35b69e65f28371471,virginialori,175.05
0x4a4988d7b9295d186610e91d76d360b55838c02d,trapers,214.46
0x09172f281b027278da4a610c388dedd249be5879,aidamj,182.43
0x1efcf02c05d7866ad2691d41b3a283e7da3b9c2d,nftsariyildiz,483.42
0x87770975b396718481d3da83af70612672f8dc89,gulyildiz,50.78
0x58cb89c8bbab3ff6b025fc140979cae5da7a53dd,homaamini,5838.52
